"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 09 05:08:47 GMT 2023","Wed Aug 09 05:08:53 GMT 2023","6098","Springstore UI Tests","Regression","testSpringstore.TestSignIn","testSpringstore.TestSignIn","testSignInSuccessfully","testSignInSuccessfully",""
"passed","Wed Aug 09 05:08:53 GMT 2023","Wed Aug 09 05:09:00 GMT 2023","6929","Springstore UI Tests","Regression","testSpringstore.TestAddAndRemoveProductToFavorites","testSpringstore.TestAddAndRemoveProductToFavorites","testAddAndRemoveProductToFavSuccessfully","testAddAndRemoveProductToFavSuccessfully",""
"passed","Wed Aug 09 05:08:38 GMT 2023","Wed Aug 09 05:08:47 GMT 2023","9364","Springstore UI Tests","Regression","testSpringstore.TestSignUp","testSpringstore.TestSignUp","testSignUpSuccessfully","testSignUpSuccessfully",""
