"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 06 05:09:46 GMT 2023","Tue Jun 06 05:09:53 GMT 2023","7773","Springstore UI Tests","Regression","testSpringstore.TestAddAndRemoveProductToFavorites","testSpringstore.TestAddAndRemoveProductToFavorites","testAddAndRemoveProductToFavSuccessfully","testAddAndRemoveProductToFavSuccessfully",""
"passed","Tue Jun 06 05:09:28 GMT 2023","Tue Jun 06 05:09:40 GMT 2023","11081","Springstore UI Tests","Regression","testSpringstore.TestSignUp","testSpringstore.TestSignUp","testSignUpSuccessfully","testSignUpSuccessfully",""
"passed","Tue Jun 06 05:09:40 GMT 2023","Tue Jun 06 05:09:46 GMT 2023","6034","Springstore UI Tests","Regression","testSpringstore.TestSignIn","testSpringstore.TestSignIn","testSignInSuccessfully","testSignInSuccessfully",""
