"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 05 05:09:16 GMT 2023","Mon Jun 05 05:09:25 GMT 2023","8520","Springstore UI Tests","Regression","testSpringstore.TestSignUp","testSpringstore.TestSignUp","testSignUpSuccessfully","testSignUpSuccessfully",""
"passed","Mon Jun 05 05:09:31 GMT 2023","Mon Jun 05 05:09:38 GMT 2023","7287","Springstore UI Tests","Regression","testSpringstore.TestAddAndRemoveProductToFavorites","testSpringstore.TestAddAndRemoveProductToFavorites","testAddAndRemoveProductToFavSuccessfully","testAddAndRemoveProductToFavSuccessfully",""
"passed","Mon Jun 05 05:09:25 GMT 2023","Mon Jun 05 05:09:31 GMT 2023","6373","Springstore UI Tests","Regression","testSpringstore.TestSignIn","testSpringstore.TestSignIn","testSignInSuccessfully","testSignInSuccessfully",""
